,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,"Rain On Me (with Ariana Grande)","Lady Gaga",3910433,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
54,"Go Crazy","Chris Brown",3876197,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
55,Circles,"Post Malone",3865037,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
56,"La Nota","Manuel Turizo",3793747,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
57,"Parce (feat. Justin Quiles)",Maluma,3781984,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
58,"Blueberry Faygo","Lil Mosey",3779982,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
59,"my ex's best friend (with blackbear)","Machine Gun Kelly",3743826,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
60,Caramelo,Ozuna,3735196,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
61,"Pretty Savage",BLACKPINK,3686585,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr
62,Memories,"Maroon 5",3607101,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
63,"Stuck with U (with Justin Bieber)","Ariana Grande",3570771,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
64,"Adore You","Harry Styles",3553849,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
65,Señorita,"Shawn Mendes",3512929,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
66,"Mad at Disney","salem ilese",3495604,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
67,"Bet You Wanna (feat. Cardi B)",BLACKPINK,3493238,https://open.spotify.com/track/7iAgNZdotu40NwtoIWJHFe
68,goosebumps,"Travis Scott",3468926,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
69,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",3433525,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
70,"Lucid Dreams","Juice WRLD",3407825,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
71,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",3376431,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
72,"Deep End",Fousheé,3375291,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
73,"The Box","Roddy Ricch",3371208,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
74,"Mi Niña",Wisin,3318686,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
75,"lovely (with Khalid)","Billie Eilish",3290123,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
76,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3281281,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
77,"Intentions (feat. Quavo)","Justin Bieber",3252793,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
78,"Kings & Queens","Ava Max",3239087,https://open.spotify.com/track/1InCpEliLCkWHOBdXW7XSx
79,Runnin,"21 Savage",3225763,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
80,Robbery,"Juice WRLD",3218944,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
81,"ily (i love you baby) (feat. Emilee)","Surf Mesa",3201951,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
82,Diamonds,"Sam Smith",3179783,https://open.spotify.com/track/5hvwx5i67IwnCkjl9VHkNv
83,Falling,"Trevor Daniel",3170137,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
84,"Mr. Right Now (feat. Drake)","21 Savage",3157640,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
85,"HIGHEST IN THE ROOM","Travis Scott",3135520,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
86,"Train Wreck","James Arthur",3135087,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
87,"Break My Heart","Dua Lipa",3110642,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
88,"bad guy","Billie Eilish",3089512,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
89,Shallow,"Lady Gaga",3060116,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
90,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,3059687,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
91,"If the World Was Ending - feat. Julia Michaels","JP Saxe",3055319,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
92,"FRANCHISE (feat. Young Thug & M.I.A.)","Travis Scott",3030891,https://open.spotify.com/track/4jVBIpuOiMj1crqd8LoCrJ
93,"Tick Tock (feat. 24kGoldn)","Clean Bandit",2990729,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
94,"Toosie Slide",Drake,2956711,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
95,Falling,"Harry Styles",2950077,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
96,"Jerusalema (feat. Nomcebo Zikode)","Master KG",2944040,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
97,"You Got It",Vedo,2933444,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
98,"Electric Love",BØRNS,2926416,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
99,"Still Don't Know My Name",Labrinth,2896766,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
